Departure Airport Code,Dep City,Dep State,Dep Country,Destination Airport Code,Destination City,Destination State,Destination Country,u_depart_date,u_return_date,u_business_class_indicator,COMMENTS
LHR,,,,PHL,,,,7/24/2017,7/28/2017,Coach,No Flights to ILG use PHL. Meg check if city fare pare. If so use those rates.
VIE,,,,ECP,,,,7/29/2017,8/11/2017,Coach,No flights to PFN used ECP. Meg check if city fare pare. If so use those rates.
SJU,,,,GUA,,,,8/2/2017,8/13/2017,Coach,Use flights to SIG used SJU
IAD,,,,SAF,,,,8/9/2017,8/11/2017,Coach,No flights to LAM used SAF. Meg check if city fare pare. If so use those rates.
IAD,,,,VPS,,,,8/15/2017,8/17/2017,Coach,No Flights to DSI used VPS. Meg check if city fare pare. If so use those rates.
TLV,,,,IAD,,,,8/28/2017,8/29/2017,Coach,No flights to SDV used TLV
ABJ,,,,ROM,,,,10/31/2017,11/18/2017,Coach,No flights to CIA used ROM
MNL,,,,SYD,,,,12/14/2017,12/28/2017,Coach,No flights to BWU used SYD
RBA,,,,IAD,,,,8/5/2018,8/26/2018,Coach,
ORF,,,,MIA,,,,8/31/2018,9/9/2018,Coach,
